ID_pred,pred,ID,target,Aux_ID,Aux_pred,Equipo
AF200828_8573373,Drosophila_melanogaster,AF200828_8573373,Drosophila_melanogaster,TRUE,TRUE,DeRichard
AF200829_8573387,Drosophila_melanogaster,AF200829_8573387,Drosophila_melanogaster,TRUE,TRUE,DeRichard
AF200839_8573527,Drosophila_simulans,AF200839_8573527,Drosophila_simulans,TRUE,TRUE,DeRichard
AF200842_8573569,Drosophila_simulans,AF200842_8573569,Drosophila_simulans,TRUE,TRUE,DeRichard
AF200846_8573625,Drosophila_mauritiana,AF200846_8573625,Drosophila_simulans,TRUE,FALSE,DeRichard
AY154408_25989948,Drosophila_subquinaria,AY154408_25989948,Drosophila_subquinaria,TRUE,TRUE,DeRichard
AY154413_25989958,Drosophila_subquinaria,AY154413_25989958,Drosophila_subquinaria,TRUE,TRUE,DeRichard
AY154414_25989960,Drosophila_subquinaria,AY154414_25989960,Drosophila_subquinaria,TRUE,TRUE,DeRichard
AY154417_25989966,Drosophila_subquinaria,AY154417_25989966,Drosophila_subquinaria,TRUE,TRUE,DeRichard
AY154424_25989980,Drosophila_subquinaria,AY154424_25989980,Drosophila_subquinaria,TRUE,TRUE,DeRichard
AY154427_25989986,Drosophila_recens,AY154427_25989986,Drosophila_recens,TRUE,TRUE,DeRichard
AY154430_25989992,Drosophila_recens,AY154430_25989992,Drosophila_recens,TRUE,TRUE,DeRichard
AY154437_25990006,Drosophila_recens,AY154437_25990006,Drosophila_recens,TRUE,TRUE,DeRichard
AY154438_25990008,Drosophila_recens,AY154438_25990008,Drosophila_recens,TRUE,TRUE,DeRichard
AY154439_25990010,Drosophila_recens,AY154439_25990010,Drosophila_recens,TRUE,TRUE,DeRichard
AY154448_25990028,Drosophila_recens,AY154448_25990028,Drosophila_recens,TRUE,TRUE,DeRichard
AY154450_25990032,Drosophila_recens,AY154450_25990032,Drosophila_recens,TRUE,TRUE,DeRichard
AY154451_25990034,Drosophila_recens,AY154451_25990034,Drosophila_recens,TRUE,TRUE,DeRichard
AY154453_25990038,Drosophila_recens,AY154453_25990038,Drosophila_recens,TRUE,TRUE,DeRichard
AY154457_25990046,Drosophila_recens,AY154457_25990046,Drosophila_subquinaria,TRUE,FALSE,DeRichard
AY518670_40795358,Drosophila_simulans,AY518670_40795358,Drosophila_simulans,TRUE,TRUE,DeRichard
AY518673_40795400,Drosophila_simulans,AY518673_40795400,Drosophila_simulans,TRUE,TRUE,DeRichard
AY533717_42601537,Drosophila_pachea,AY533717_42601537,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533718_42601539,Drosophila_pachea,AY533718_42601539,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533719_42601541,Drosophila_pachea,AY533719_42601541,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533721_42601545,Drosophila_pachea,AY533721_42601545,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533729_42601561,Drosophila_pachea,AY533729_42601561,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533734_42601571,Drosophila_pachea,AY533734_42601571,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533738_42601579,Drosophila_pachea,AY533738_42601579,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533745_42601593,Drosophila_pachea,AY533745_42601593,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533759_42601621,Drosophila_pachea,AY533759_42601621,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533763_42601629,Drosophila_pachea,AY533763_42601629,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533768_42601639,Drosophila_pachea,AY533768_42601639,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533771_42601645,Drosophila_pachea,AY533771_42601645,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533773_42601649,Drosophila_pachea,AY533773_42601649,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533777_42601657,Drosophila_pachea,AY533777_42601657,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533784_42601671,Drosophila_pachea,AY533784_42601671,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533786_42601675,Drosophila_pachea,AY533786_42601675,Drosophila_pachea,TRUE,TRUE,DeRichard
AY533790_42601683,Drosophila_mettleri,AY533790_42601683,Drosophila_mettleri,TRUE,TRUE,DeRichard
AY533793_42601689,Drosophila_mettleri,AY533793_42601689,Drosophila_mettleri,TRUE,TRUE,DeRichard
AY533797_42601697,Drosophila_mettleri,AY533797_42601697,Drosophila_mettleri,TRUE,TRUE,DeRichard
AY533802_42601707,Drosophila_mettleri,AY533802_42601707,Drosophila_mettleri,TRUE,TRUE,DeRichard
AY533809_42601721,Drosophila_mettleri,AY533809_42601721,Drosophila_mettleri,TRUE,TRUE,DeRichard
AY533814_42601733,Drosophila_nigrospiracula,AY533814_42601733,Drosophila_nigrospiracula,TRUE,TRUE,DeRichard
AY533821_42601747,Drosophila_nigrospiracula,AY533821_42601747,Drosophila_nigrospiracula,TRUE,TRUE,DeRichard
AY541130_46948560,Drosophila_falleni,AY541130_46948560,Drosophila_falleni,TRUE,TRUE,DeRichard
AY541133_46948566,Drosophila_falleni,AY541133_46948566,Drosophila_falleni,TRUE,TRUE,DeRichard
AY541135_46948570,Drosophila_falleni,AY541135_46948570,Drosophila_falleni,TRUE,TRUE,DeRichard
AY541182_46948664,Drosophila_innubila,AY541182_46948664,Drosophila_innubila,TRUE,TRUE,DeRichard
AY541184_46948668,Drosophila_innubila,AY541184_46948668,Drosophila_innubila,TRUE,TRUE,DeRichard
